jisuCity,Country,Continent,Population,GDP_Billion_USD,Avg_Temperature_C,Annual_Rainfall_mm,Cost_of_Living_Index,Happiness_Index,Year,Area_km2,Literacy_Rate,Internet_Penetration
东京,日本,亚洲,37435191,1022.0,15.4,1538,88,7.15,2023,2194,99.0,94.7
德里,印度,亚洲,32941000,297.2,25.0,890,25,5.47,2023,1484,88.7,72.5
上海,中国,亚洲,28516904,683.2,16.6,1173,70,6.12,2023,6340,99.7,89.8
纽约,美国,北美洲,18897109,1750.0,12.9,1268,100,7.02,2023,783.8,99.0,92.7
圣保罗,巴西,南美洲,22043028,225.6,23.0,1450,55,6.35,2023,1521,93.4,76.8
拉各斯,尼日利亚,非洲,21320000,86.9,26.8,1820,40,4.32,2023,1171,62.0,48.9
伦敦,英国,欧洲,9540576,692.2,11.3,601,85,7.2,2023,1572,99.0,96.0
悉尼,澳大利亚,大洋洲,5367206,412.5,17.7,1214,82,7.38,2023,12368,99.0,93.9
墨西哥城,墨西哥,北美洲,21804515,411.8,22.0,747,60,6.58,2023,1525,95.6,78.4
开罗,埃及,非洲,21320000,186.5,21.4,50,38,5.15,2023,3085,73.9,61.2
